course_id,course_name,currency,best_price_value,min_custom_price,max_custom_price,coupons_remaining
5273456,"【ChatGPT x Excel VBA】 エクセルに ChatGPT 関数を実装して AI プログラミングしてみる講座","JPY",1200.00,1600.00,27800.00,3
5238110,"【未経験からエンジニア】Python入門 基礎文法徹底解説: Pythonチュートリアル網羅でプログラミングできるになる","JPY",1200.00,1600.00,27800.00,1
4871624,"現場流VBA(5) クラスモジュール開発入門 【基礎から実務への応用】","JPY",1200.00,1600.00,27800.00,3
4577888,"現場流VBA(4) ～ 発展編(前編) もっとユーザーが使いやすいエクセル業務システムを開発する","JPY",1200.00,1600.00,11800.00,3
4551180,"【ピボットテーブル マスター講座】 エクセルを高度なデータ分析ツールにし、ダッシュボード・グラフ作成できるようになります","JPY",1200.00,1600.00,11800.00,3
4008910,"【Google AppSheet】 プログラミング不要でスマホアプリ & WEBアプリを作れるようになる講座","JPY",1200.00,1600.00,11800.00,3
3995592,"ショートカットキーヘビーユーザーのためのAHKプログラミング","JPY",1200.00,1600.00,21800.00,3
3773258,"現場流エクセルVBA (3) ～ 非IT系のためのVBAレベルアップ講座","JPY",1200.00,1600.00,11800.00,3
2849846,"【全部入り】 ショートカットキー コンプリート講座。初心者からトップクラスの達人になる","JPY",1200.00,1600.00,21800.00,3
2610106,"現場流エクセルVBA (2) ～ 非IT系のための超・業務カイゼン技術","JPY",1200.00,1600.00,11800.00,3
1671594,"現場流エクセルVBA (1) ～ 非IT系のための業務カイゼン技術","JPY",1200.00,1600.00,11800.00,3
